level1,level2,census_1991,census_2006,projected_2016,hdx_2016
Kano,Ajingi,NA,172.61,240.1,235.805
Kano,Albasu,6,187.639,261,257.493
Kano,Bagwai,3,161.533,224.7,220.517
Kano,Bebeji,8,191.916,266.9,255.741
Kano,Bichi,31,278.309,387.1,375.23
Kano,Bunkure,11,174.467,242.7,231.41
Kano,Dala,NA,418.759,582.5,567.081
Kano,Dambatta,NA,210.474,292.8,281.617
Kano,Dawakin Kudu,27,225.497,313.7,305.207
Kano,Dawakin Tofa,23,246.197,342.5,335.656
Kano,Doguwa,40,150.645,209.5,204.72
Kano,Fagge,NA,200.095,278.3,269.24
Kano,Gabasawa,21,211.204,293.8,285.797
Kano,Garko,NA,161.966,225.3,220.047
Kano,Garum Mallam,NA,118.622,165,157.749
Kano,Gaya,NA,207.419,288.5,272.203
Kano,Gezawa,22,282.328,392.7,381.96
Kano,Gwale,NA,357.827,497.7,490.277
Kano,Gwarzo,7,183.624,255.4,249.143
Kano,Kabo,43,153.158,213,208.304
Kano,Kano Municipal,NA,371.243,516.4,494.97
Kano,Karaye,NA,144.045,200.4,191.484
Kano,Kibiya,NA,138.618,192.8,185.159
Kano,Kiru,24,267.168,371.6,358.549
Kano,Kumbotso,29,294.391,409.5,400.796
Kano,Kunchi,NA,110.17,153.2,150.333
Kano,Kura,NA,143.094,199,195.809
Kano,Madobi,37,137.685,191.5,185.006
Kano,Makoda,NA,220.094,306.1,301.158
Kano,Minjibir,17,219.611,305.5,289.506
Kano,Nassarawa,NA,596.411,829.6,807.971
Kano,Rano,NA,148.276,206.2,196.944
Kano,Rimin Gado,33,103.371,143.8,141.9
Kano,Rogo,NA,227.607,316.6,308.394
Kano,Shanono,41,139.128,193.5,190.401
Kano,Sumaila,28,250.379,348.3,343.491
Kano,Takai,13,202.639,281.9,274.542
Kano,Tarauni,NA,221.844,308.6,299.761
Kano,Tofa,34,98.603,137.2,132.345
Kano,Tsanyawa,NA,157.73,219.4,213.52
Kano,Tudun Wada,18,228.658,318.1,313.81
Kano,Ungogo,30,365.737,508.7,500.566
Kano,Warawa,39,131.858,183.4,174.395
Kano,Wudil,NA,188.639,262.4,250.771
Katsina,Bakori,14,149.516,201.8,197.154
Katsina,Batagarawa,42,189.059,255.2,243.619
Katsina,Batsari,19,207.874,280.6,275.828
Katsina,Baure,NA,202.941,273.9,260.58
Katsina,Bindawa,9,151.002,203.8,201.093
Katsina,Charanchi,NA,136.989,184.9,181.634
Katsina,Dandume,NA,145.323,196.2,192.36
Katsina,Danja,44,125.481,169.4,165.914
Katsina,Dan Musa,NA,113.19,152.8,150.06
Katsina,Daura,25,224.884,303.6,290.008
Katsina,Dutsi,NA,120.902,163.2,158.417
Katsina,Dutsin Ma,5,169.829,229.2,223.947
Katsina,Faskari,NA,194.4,262.4,258.745
Katsina,Funtua,NA,225.156,303.9,297.729
Katsina,Ingawa,4,169.148,228.3,224.056
Katsina,Jibia,12,167.435,226,224.049
Katsina,Kafur,15,209.36,282.6,267.785
Katsina,Kaita,2,182.405,246.2,243.389
Katsina,Kankara,20,243.259,328.4,324.349
Katsina,Kankia,NA,151.395,204.4,199.877
Katsina,Katsina,32,318.132,429.4,420.331
Katsina,Kurfi,35,116.7,157.5,155.194
Katsina,Kusada,NA,98.348,132.8,131.022
Katsina,Mai'Adua,16,201.8,272.4,265.533
Katsina,Malumfashi,26,182.891,246.9,241.435
Katsina,Mani,10,176.301,238,233.576
Katsina,Mashi,NA,171.07,230.9,228.518
Katsina,Matazu,36,113.814,153.6,152.217
Katsina,Musawa,38,170.006,229.5,226.644
Katsina,Rimi,NA,154.092,208,202.925
Katsina,Sabuwa,NA,140.679,189.9,179.571
Katsina,Safana,NA,185.207,250,242.568
Katsina,Sandamu,NA,136.944,184.9,181.204
Katsina,Zango,NA,156.052,210.6,204.244
