Provision store;Neighborhood_shops_kiosk
Shop/food store;Neighborhood_shops_kiosk
Dawanau grains market Dawakin Tofa L.G;Open air_or_covered market
Provision stores;Neighborhood_shops_kiosk
Dandagoro market ;Open air_or_covered market
Provision;Neighborhood_shops_kiosk
Shop/foods store;Neighborhood_shops_kiosk
SELLING STORES;Neighborhood_shops_kiosk
Food stuff vendors ;Neighborhood_shops_kiosk
Shop;Neighborhood_shops_kiosk
Trader;Neighborhood_shops_kiosk
"Coke village market.
.";Open air_or_covered market
Kasuwar Chake (Filin bugu) Katsina;Open air_or_covered market
Township Road side seller;Mobile_shops_street vendors
Area market;Open air_or_covered market
Food stuff seller;Neighborhood_shops_kiosk
Shops/foods store;Neighborhood_shops_kiosk
Road side small shop;Mobile_shops_street vendors
Store;Neighborhood_shops_kiosk
SELLING STORES ;Neighborhood_shops_kiosk
Corner shops;Neighborhood_shops_kiosk
Tsohuwar Kasuwa Katsina;Open air_or_covered market
Yarkutungu Weekly Market ;Open air_or_covered market
Dawanau market ;Open air_or_covered market
Food stuffs seller in the area;Neighborhood_shops_kiosk
Dandagoro market;Open air_or_covered market
Food stuff shop in my area;Neighborhood_shops_kiosk
Dawanau market;Open air_or_covered market
Big agricultural produce selling point;Bulk_and_discount stores
Weekly market;Open air_or_covered market
food stuffs vendor;Neighborhood_shops_kiosk
Food Vendor ;Neighborhood_shops_kiosk
Central market ;Open air_or_covered market
Central Market Katsina;Open air_or_covered market
Yarkutungu;Open air_or_covered market
Shop ;Neighborhood_shops_kiosk
Food stuff vendor;Neighborhood_shops_kiosk
Weekly market ;Open air_or_covered market
Roadside market;Mobile_shops_street vendors
Gandu albasa minimarket kano;Neighborhood_shops_kiosk
Shop/store Foods;Neighborhood_shops_kiosk
Old City Market ;Open air_or_covered market
Roadside trader;Mobile_shops_street vendors
Food vendor;Neighborhood_shops_kiosk
Provisions;Neighborhood_shops_kiosk
Gandun albasa market kano ;Open air_or_covered market
Shop/foods store ;Neighborhood_shops_kiosk
Mini community market;Neighborhood_shops_kiosk
Dawanau;Open air_or_covered market
Local City Market;Open air_or_covered market
Local grain shop;Neighborhood_shops_kiosk
Trader stret;Mobile_shops_street vendors
Dawanau ;Open air_or_covered market
Village shops;Neighborhood_shops_kiosk
