"","packaging","other_packaging","kg","conversion","price_kg","packaging_new","label_new","conversion_new","kg_new"
"1","Other","Kwano","NA","NA","NA","Mudu/Kwano/Tiyya","Mudu/Kwano/Tiyya",0.4,NA
"2","Other","85kg","NA","NA","NA","1kg","1Kg bag",1,85
"3","Other","Tiya","NA","NA","NA","Mudu/Kwano/Tiyya","Mudu/Kwano/Tiyya",0.4,NA
"4","Other","2.5kg","NA","NA","NA","1kg","1Kg bag",1,2.5
"5","Other","3.5kg","NA","NA","NA","1kg","1Kg bag",1,3.5
"6","Other","2","NA","NA","NA","1kg","1Kg bag",1,2
"7","Other","Tin","NA","NA","NA",NA,NA,NA,NA
"8","Other","Half mudu","NA","NA","NA",NA,NA,NA,NA
"9","Other","Per sak","NA","NA","NA","100kg","100kg bag",0.01,NA
"10","Other","Toya","NA","NA","NA","Mudu/Kwano/Tiyya","Mudu/Kwano/Tiyya",0.4,NA
"11","Other","3kg","NA","NA","NA","1kg","1Kg bag",1,3
"12","Other","per sack","NA","NA","NA","100kg","100kg bag",0.01,NA
"13","Other","12500","NA","NA","NA",NA,NA,NA,NA
"14","Other","50","NA","NA","NA","50kg","50kg bag",0.02,NA
"15","Other","Tear","NA","NA","NA",NA,NA,NA,NA
"16","Other","2.5","NA","NA","NA","1kg","1Kg bag",1,2.5
"17","Other","600","NA","NA","NA",NA,NA,NA,NA
"18","Other","tiyya","NA","NA","NA","Mudu/Kwano/Tiyya","Mudu/Kwano/Tiyya",0.4,NA
"19","Other","50kg","NA","NA","NA","50kg","50kg bag",0.02,NA
"20","Other","1sack","NA","NA","NA","100kg","100kg bag",0.01,NA
"21","Other","1jumbo sack","NA","NA","NA","100kg","100kg bag",0.01,NA
"22","Other","1 sack","NA","NA","NA","100kg","100kg bag",0.01,NA
"23","Other","One sack","NA","NA","NA","100kg","100kg bag",0.01,NA
"24","Other","One jumbo sack","NA","NA","NA","100kg","100kg bag",0.01,NA
"25","Other","One jumbo sack","NA","NA","NA","100kg","100kg bag",0.01,NA
"26","Other","1Kg","NA","NA","NA","1kg","1Kg bag",1,1
"27","Other","50 kg","NA","NA","NA","50kg","50kg bag",0.02,NA
"28","Other","1","NA","NA","NA",NA,NA,NA,NA
"29","Other","5kg bag","NA","NA","NA","1kg","1Kg bag",1,5
"30","Other","Kwano","NA","NA","NA","Mudu/Kwano/Tiyya","Mudu/Kwano/Tiyya",0.4,NA
"31","Other","Yiya","NA","NA","NA","Mudu/Kwano/Tiyya","Mudu/Kwano/Tiyya",0.4,NA
"32","Other","100kg","NA","NA","NA","100kg","100kg bag",0.01,NA
"33","Other","43497","NA","NA","NA",NA,NA,NA,NA
"34","Other","Tiyya","NA","NA","NA","Mudu/Kwano/Tiyya","Mudu/Kwano/Tiyya",0.4,NA
"35","Other","3kg","NA","NA","NA","1kg","1Kg bag",1,3
"36","Other","dandagoro","NA","NA","NA",NA,NA,NA,NA
"37","Other","50","NA","NA","NA","50kg","50kg bag",0.02,NA
"38","Other","kwan","NA","NA","NA","Mudu/Kwano/Tiyya","Mudu/Kwano/Tiyya",0.4,NA
"39","Other","70kg","NA","NA","NA","1kg","1Kg bag",1,70
"40","Other","Tiiyya","NA","NA","NA","Mudu/Kwano/Tiyya","Mudu/Kwano/Tiyya",0.4,NA
"41","Other","75kg","NA","NA","NA","1kg","1Kg bag",1,75
"42","Other","3.5","NA","NA","NA","1kg","1Kg bag",1,3.5
